46.5,18.0, 1.35, 1.5707963267948966
46.0,17.5, 1.2, -1.5707963267948966
45.5,17.0, 1.2, -1.5707963267948966
45.0,16.5, 1.2, -1.5707963267948966
44.5,16.0, 1.2, -1.5707963267948966
44.0,15.5, 1.2, -1.5707963267948966
43.5,15.0, 1.2, -1.5707963267948966
43.0,15.0, 1.2, -1.5707963267948966
42.5,15.0, 1.2, -1.5707963267948966
42.0,14.5, 1.2, -1.5707963267948966
42.0,14.0, 1.2, -1.5707963267948966
42.0,13.5, 1.2, -1.5707963267948966
42.0,13.0, 1.2, -1.5707963267948966
42.0,12.5, 1.2, -1.5707963267948966
42.0,12.0, 1.2, -1.5707963267948966
42.0,11.5, 1.2, -1.5707963267948966
42.5,11.0, 1.2, -1.5707963267948966
43.0,11.0, 1.2, -1.5707963267948966
43.5,11.0, 1.2, -1.5707963267948966
44.0,11.0, 1.2, -1.5707963267948966
44.5,11.0, 1.2, -1.5707963267948966
45.0,11.0, 1.2, -1.5707963267948966
45.5,10.5, 1.2, -1.5707963267948966
46.0,10.5, 1.2, -1.5707963267948966
46.5,10.5, 1.2, -1.5707963267948966
47.0,10.0, 1.2, -1.5707963267948966
47.5,10.0, 1.2, -1.5707963267948966
48.0,10.0, 1.2, -1.5707963267948966
48.5,10.0, 1.2, -1.5707963267948966
49.0,9.5, 1.2, -1.5707963267948966
49.5,9.0, 1.2, -1.5707963267948966
50.0,8.5, 1.2, -1.5707963267948966
50.5,8.5, 1.2, -1.5707963267948966
51.0,8.5, 1.2, -1.5707963267948966
51.5,8.0, 1.2, -1.5707963267948966
51.48548847909338,8.025, 2.22, -1.5707963267948966
